rank,username,name,repo_description,avatar_url,profile_url,popular_repo,scraped_at
1,sooperset,Hyeonsoo Lee,"MCP server for Atlassian tools (Confluence, Jira)",https://avatars.githubusercontent.com/u/32061883?s=96&v=4,https://github.com/sooperset,mcp-atlassian,2025-07-03T21:37:53.866726
2,aaronpowell,Aaron Powell,"The official C# SDK for Model Context Protocol servers and clients, maintained by Microsoft",https://avatars.githubusercontent.com/u/434140?s=96&v=4,https://github.com/aaronpowell,modelcontextprotocol-csharp-sdk,2025-07-03T21:37:53.867542
3,sadmann7,Sadman Sakib,"A collection of composable, unstyled UI primitives for building accessible web applications.",https://avatars.githubusercontent.com/u/68962712?s=96&v=4,https://github.com/sadmann7,diceui,2025-07-03T21:37:53.868212
4,,dkhamsing,ðŸ“± Collaborative List of Open-Source iOS Apps,https://avatars.githubusercontent.com/u/4723115?s=96&v=4,https://github.com/dkhamsing,open-source-ios-apps,2025-07-03T21:37:53.868872
5,zeux,Arseny Kapoulkine,Mesh optimization library that makes meshes smaller and faster to render,https://avatars.githubusercontent.com/u/1106629?s=96&v=4,https://github.com/zeux,meshoptimizer,2025-07-03T21:37:53.869535
6,Klocman,Marcin Szeniak,Remove large amounts of unwanted applications quickly.,https://avatars.githubusercontent.com/u/14913904?s=96&v=4,https://github.com/Klocman,Bulk-Crap-Uninstaller,2025-07-03T21:37:53.870469
7,evalstate,shaun smith,"Define, Prompt and Test MCP enabled Agents and Workflows",https://avatars.githubusercontent.com/u/1936278?s=96&v=4,https://github.com/evalstate,fast-agent,2025-07-03T21:37:53.871569
8,emersion,Simon Ser,A lightweight Wayland notification daemon,https://avatars.githubusercontent.com/u/506932?s=96&v=4,https://github.com/emersion,mako,2025-07-03T21:37:53.872764
9,steipete,Peter Steinberger,Rules and Knowledge to work better with agents such as Claude Code or Cursor,https://avatars.githubusercontent.com/u/58493?s=96&v=4,https://github.com/steipete,agent-rules,2025-07-03T21:37:53.873413
10,SteveMacenski,Steve Macenski,Slam Toolbox for lifelong mapping and localization in potentially massive maps with ROS,https://avatars.githubusercontent.com/u/14944147?s=96&v=4,https://github.com/SteveMacenski,slam_toolbox,2025-07-03T21:37:53.874060
11,LaurenzV,Laurenz Stampfl,"An experimental, work-in-progress PDF rasterizer in pure Rust.",https://avatars.githubusercontent.com/u/47084093?s=96&v=4,https://github.com/LaurenzV,hayro,2025-07-03T21:37:53.874712
12,jlowin,Jeremiah Lowin,"ðŸš€ The fast, Pythonic way to build MCP servers and clients",https://avatars.githubusercontent.com/u/153965?s=96&v=4,https://github.com/jlowin,fastmcp,2025-07-03T21:37:53.875309
13,logan-markewich,Logan,"This repository provides very basic flask, streamlit, and docker examples for the llama_index (fka gpt_index) package",https://avatars.githubusercontent.com/u/22285038?s=96&v=4,https://github.com/logan-markewich,llama_index_starter_pack,2025-07-03T21:37:53.875923
14,hiyouga,Yaowei Zheng,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),https://avatars.githubusercontent.com/u/16256802?s=96&v=4,https://github.com/hiyouga,LLaMA-Factory,2025-07-03T21:37:53.876552
15,yetone,yetone,Use your Neovim like using Cursor AI IDE!,https://avatars.githubusercontent.com/u/1206493?s=96&v=4,https://github.com/yetone,avante.nvim,2025-07-03T21:37:53.877237
16,evanw,Evan Wallace,An extremely fast bundler for the web,https://avatars.githubusercontent.com/u/406394?s=96&v=4,https://github.com/evanw,esbuild,2025-07-03T21:37:53.878070
17,haotian-liu,Haotian Liu,[NeurIPS'23 Oral] Visual Instruction Tuning (LLaVA) built towards GPT-4V level capabilities and beyond.,https://avatars.githubusercontent.com/u/6631389?s=96&v=4,https://github.com/haotian-liu,LLaVA,2025-07-03T21:37:53.878694
18,hadley,Hadley Wickham,R for data science: a book,https://avatars.githubusercontent.com/u/4196?s=96&v=4,https://github.com/hadley,r4ds,2025-07-03T21:37:53.879300
19,indragiek,Indragie Karunaratne,Native macOS client for Model Context Protocol (MCP),https://avatars.githubusercontent.com/u/353158?s=96&v=4,https://github.com/indragiek,Context,2025-07-03T21:37:53.879925
20,roblourens,Rob Lourens,,https://avatars.githubusercontent.com/u/323878?s=96&v=4,https://github.com/roblourens,,2025-07-03T21:37:53.880391
21,amery,Alejandro Mery,,https://avatars.githubusercontent.com/u/131371?s=96&v=4,https://github.com/amery,,2025-07-03T21:37:53.880843
22,gounthar,Bruno Verachten,,https://avatars.githubusercontent.com/u/116569?s=96&v=4,https://github.com/gounthar,,2025-07-03T21:37:53.881266
23,jan-janssen,Jan Janssen,,https://avatars.githubusercontent.com/u/3854739?s=96&v=4,https://github.com/jan-janssen,,2025-07-03T21:37:53.881750
24,DonJayamanne,Don Jayamanne,"Run JavaScript and TypeScript in node.js within VS Code notebooks with excellent support for debugging, tensorflowjs visulizations, plotlâ€¦",https://avatars.githubusercontent.com/u/1948812?s=96&v=4,https://github.com/DonJayamanne,typescript-notebook,2025-07-03T21:37:53.882337
25,tklauser,Tobias Klauser,,https://avatars.githubusercontent.com/u/539708?s=96&v=4,https://github.com/tklauser,,2025-07-03T21:37:53.882823
